,text_ek
20883,"misconception about the mark of the beast < br / > < br / > revelation <time> < br / > < br / > "" and he causeth all , both small and great , rich and poor , free and bond , to receive a mark in their right hand , or in their foreheads :""< br / > < br / > the bible was not written in english , and there is something very important that gets lost in translation . the hebrew word for hand is yad , which is the same word used for arm . so the passage could correctly be translated "" to receive the mark in their right arm "" < br / > < br / > also note that it says that the mark is received "" in "" their right arm , not on their right arm . < br / > < br / > very telling < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
17357,"new on national justice <sad> br / > < br / > the israeli supreme court has ruled that racially impure people who practice judaism are jews and must be granted citizenship under right of return laws . < br / > < br / > the israelis are panicking . they are afraid that this will allow black jews , syrian jews , and mixed race eastern europeans to immigrate to israel . < br / > < br / > the internal debate on this in israel is openly racial . netanyahu ' s coalition partners are planning to legislate to override the court ' s decision after the march elections . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > s - after - supreme - court - defines - jew - under - right - return - law </span> < span class = "" ellipsis "" > </span> </a>"
9978,"video taken from die welt der betrogenen menschenkinder . - the truth about the "" secret operation "" evergreen is reported on turkish television ! he says that was the biggest blow the deep state ever suffered ! < br / > < br / > so folks , something big has been averted , that would have changed the world had . it wasn ' t about children ' s trade . a satanic plan of the deep state was abandoned ! he says "" the corona plandemic "" will be ended and to continue corona , that was plan b ! < br / > < br / > in the containers was the next "" bioweapons "" attack on humanity , which has probably been in the works for <number> years and funded by bill gaes ! with these "" bioweapons "" they wanted to change / poison the climate and the soil ( farmland ) with 5 g ! that ' s why bill gates is buying millions of hekter farmland around the world because he wanted to control the food chain ! < br / > god ' s plan has triumphed ! < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
7044,"<number> / <number> < br / > in <number> isis was formed by kings of morocco & libya [ hassan family ] together with the royal british family . < br / > < br / > they signed in the mohameddi law which was to kill the bloodlines of jesus christ [ druze ] < br / > < br / > <number> yrs later they merged with skull n bones <sad> br / > < br / > rothschilds , schiff , rockefellers , scherff aka bush , kissingers , etc . < br / > < br / > skull n bones _isis assassinated jfk ."
945,"< a href = "" <url> class = "" u - url mention "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > @lovelymiss </a> please rethink . our people already had societal collapse due to centuries of jewish - imposed rot . it was called the dark ages and it wasn ' t pretty . a retrograde in technology , medicine , engineering , an increase in stupid , destructive superstition which all lasted for centuries , and the loss of strong central organization such that incursions by foreigners ( arabs ) could not be stopped resulting in occupation that lasted for centuries , i . e . spain , balkans with a legacy of racial pollution there , or that was permanent , i . e . north africa ."
20929,"on <date> , the reichstag , the german parliament building , burned . the nazi government blamed a foreign leftist named marinus van der lubbe , warned of a vast leftwing conspiracy against germany , and used the outrage and hysteria to crack down on his opponents ’ civil liberties . < br / > < br / > the reichstag fire turned out so convenient for nazi aims that a popular conspiracy theory by communist propagandist willi munzenberg that the nazis had set the fire themselves in a false flag operation was widely believed for decades on cui bono grounds . < br / > < br / > but by the end of the 2 0 th century , the consensus among historians was that van der lubbe was guilty , although some hold to theories that the nazis had used him as a catspaw . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > <number> </span> < span class = "" ellipsis "" > </span> </a>"
20647,"thread <number> / <number> < br / > < br / > ( jew ) dugin ' s eurasian plan is a mask for the destruction of ( white ) christians in ww3 ( including russians ) , as a ' scapegoat ' , ' sacrifice ' & revenge according to jewish doctrine . < br / > < br / > "" zohar opposes jews against kelipot ( edom ) , considered the power of rome & indo - europeans . christians are specifically counted as atoning sacrifices in messianic times . "" < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > "" in the zohar , where this concept is developed in detail , it is quite obvious that erev rav is eschatological only in the sense that these are the children of the left side ( sitra achra ) . and that only by destroying erev rav , the genocide of the goyim is meant ( esau , the zoharite synonym for christians , more broadly , all non - jews ) , it is possible to return from the 4 th galut ( exile ) and restore the temple . "" < br / > < br / > 1 4 th para from end < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > chabad rebbe schneerson <sad> br / > < br / > "" rashi comments ' g - d ’ s sovereignty will not be complete until he exacts retribution from the descendents of eisav ' . eisav ’ s progeny magdiel , is identified with rome , that destroyed the beis hamikdash ( 2 nd temple ) . "" < br / > < br / > 1 0 th para < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > hence <sad> br / > < br / > russia & china in final preparations for military conquest of the west < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > tion - behind - the - mask - part - i / </span> < span class = "" ellipsis "" > </span> </a>"
7146,"late in their lives wagner and gobineau became friends - - - according to cosima they would stay up late in the night arguing , wagner saying that the only hope was a return to a christianity that was purged of all jewish influence , and gobineau saying that we had to be rid of christianity altogether , and they would stay up arguing til the morning , neither agreeing with the other ."
19648,"a century ago , nietzsche perceived that our civilization , although it seemed to have an absolute mastery of the whole world , was infected by a degenerative disease , a cancer of the spirit that would destroy it , if our people did not have the intelligence and the fortitude to excise the malignancy . < br / > < br / > he came to the conclusion that christianity was a "" transvaluation of values , "" a mental virus cunningly invented and propagated by the jews to implement "" jewish vengeance and hatred , - the deepest and sublimest hatred in human history . """
11511,"forbidden deep dark occult history painstakingly explained for the uninformed … < br / > < br / > [ ds ] hamitic aithiope [ akkad ] tartar uyghur / kheta [ khittai ] ( guk ) – global ancient [ hindi - origin ] iranian [ aryan ] , gokturk mongol [ turanian ] and african [ negretic ] ashkenazi "" gypsy "" deep state < br / > aka luciferian / satanic masonic magi / magian / magickian pedovore / cannibal cult < br / > < br / > part i <sad> br / > saturn / saturnian death cult of [ ds ] guk tartar vandals , alans & huns < br / > < br / > aka ancient lamaic ( demonolatry ) , barbarian , matriarchst , hurro - urartian “ edenites ” from lake van , armenia / iran < br / > aka ancient siberian skoti = huns < br / > aka wolf - tribe of van / biani / fen uyghur dwarfs in stone age times = vandals ( from baltic scandinavia ) < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
