,text_ek
18129,"right now over <number> afghan refugees are heading to the united states on the s id program and that ’ s just only a fraction of what ’ s to come just wonderful and we go , afghans , mexicans , hatians , let ’ s just open the border and let everybody in ! <repeated>"
11629,"tragic mess in afghanistan , a completely open and broken border , crime at record levels , oil prices through the roof , inflation rising , and taken advantage of by the entire world — do you miss me yet ?"
13652,why would biden regime open up our borders in the middle of a global plandemic ? < br / > < br / > they do not give a shit about americans . < br / > < br / > it ' s all about getting as many illegals here for a permanent underclass of new voters . < br / > < br / > america last . power first .
19885,"remain in mexico , also known as mpp ( migrant protection protocols ) , was not only a historic foreign policy triumph but one of the most successful border security programs anyone has ever put into effect anywhere . along with our central america safe third agreements , asylum reforms , and expedited removal procedures we drove border numbers to record lows and we ended the horrendous practice known as catch - and - release . < br / > < br / > no american president had ever done more to defend the border and safeguard the whole immigration system . < br / > < br / > the biden administration inherited the most secure border in history , and they turned it into the greatest border disaster in history . our border is now run by cartels , criminals , and coyotes . illegal immigrants , gang members , and lethal drugs are pouring across like never before . not only are illegal immigrants being caught and released , they are being put up in hotels at taxpayer expense . < br / > < br / > our country is being destroyed before our very eyes . < br / > < br / > the biden administration ’ s disastrous decision to formally end the remain in mexico policy is proof that their objective is to eliminate the u.s. border entirely and flood the country with so many illegal aliens that every community is overwhelmed . < br / > < br / > joe biden is the first american president who doesn ’ t want america to be a nation at all ."
14864,"what ' s wrong with this picture ? < br / > < br / > enter the perimeter of the capitol without the proper documentation and you get arrested . < br / > < br / > cross the southern border illegally and you get free food , housing , healthcare , and college ."
19451,"red state military bases endured horrible covid restrictions for a year . no family visits , no travel etc . this past week those same bases got jam packed with potentially sick illegal aliens fresh from the border . democrats are cynically flooding america with their new voters , as we lose our country inch by inch ."
7862,"they can fence in , militarize , and blockade washington dc in a week . <repeated> but can ’ t do the same to protect our southern border in <number> years ."
13390,"< a href = "" <url> class = "" u - url mention "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > @hardworkwins </a> < br / > < br / > here is the reason why . do you remember the mess that the dnc created before trump got elected ? all the environment restrictions , the economy was tanking , jobs were gone , companies left usa , and the open borders was so prevalent , then that stupid russian witch hunt accusations , the kavanaugh fight and smears , judge fighting against accusations in alabama the stupid paris climate accord , the iran deal , the tps deal and nafta deal , china dumping heaps of their trash to usa steel mills shutting down , the isis problems , the usa military falling apart , etc and so forth . < br / > < br / > yea right we had a heap to fix up , and much of the other stuff could not get done . give the gop back the power now and the rest of it will get done to make usa strong keeping america great . just keep the goddamn democrats out of office and things will be better ok . do not elect the democrats if at all possible . keep them away from power ! <repeated> < br / > < br / > i cannot make it anymore plainer than that to tell you here ."
1499,"i realize many of you think "" what this canadian says does not affect me "" . what many of you might not understand is we are years ahead of you . all of this democrat shit has been happening up here since <number> . china . open borders . globalism . crushing taxes . mass unaccountable spending . all due to the compromised , bribed , rumored pedophile justin trudeau . while women swoon over him , he might be looking at their kids . some things remind you of someone in the w . h ? . <repeated> and let us not forget stolen elections . yes . our elections are stolen too ."
2590,"<number> million people have crossed our border illegally this year , and it ' s only august . < br / > < br / > there are now <number> to <number> million people living , working and voting in this country illegally ."
