,text_ek
20349,"great news from arizona ! < br / > - forensic audit - post # <number> < br / > < br / > <number> million ballots have already been inspected ( on a total of <number> million ) . < br / > only <number> remain to be checked . < br / > < br / > likely the forensic audit will be completed this week . < br / > then , we will have to wait <number> more days for the report to be drafted . < br / > < br / > please repost ! < br / > < br / > edit to add <sad> br / > my estimate ( already published <number> months ago - pinned post ) <sad> br / > there are <number> fake biden ballots ( in maricopa county alone ) < br / > < br / > trump won arizona <sad> br / > trump . <repeated> <percent> < br / > biden . <repeated> <percent>"
6490,😂 😂 😂 < br / > < br / > they are doing mail in ballots for newsom ’ s recall election due to the “ delta variant ” < br / > < br / > see how this works ?
807,"the senate just voted unanimously to allocate a billion dollars to relocate <number> afghan "" migrants "" to the united states < br / > < br / > unanimous <emphasis> < br / > < br / > <number> republicans included"
5237,"the way we take the country back is by first taking our local communities back . < br / > < br / > vote for and elect christian mayors , school boards , state legislatures , and leaders ."
365,recall the fraudulent electors . < br / > < br / > demand a new election . < br / > < br / > no more excuses .
6626,"more and more , states are not only realizing the constitutional power they hold over the federal government . they are using it . < br / > < br / > almost like it ' s according to some plan ."
7115,i have good news : < br / > < br / > - wyoming now requires voter id < br / > < br / > - nebraska is now a 2 nd amendment sanctuary state < br / > < br / > - iowa is refusing to house illegal minors < br / > < br / > we can push back against the federal gov ’ t by harnessing power at the state level .
15941,"can you imagine how wonderful it would be if we the people ; united spirits of america demanded new elections on <date> that required <sad> br / > < br / > voter id < br / > < br / > blockchain paper ballots ( unique code for each ballot that was specifically tied to each of the <number> counties ) < br / > < br / > our military and veterans supervising this all ( over <number> million veterans , <number> - <number> million active military ) < br / > < br / > a method for each voter to confirm their vote ? < br / > < br / > how incredible would that be ? < br / > < br / > i keep having more and more dreams of how to build out a voting apparatus that is controlled by we the people of the united states and to the republic for which it stands ; one nation under god ; indivisible with liberty and justice for all !"
4107,mike lindell is still fighting for us ! < br / > he ’ s lost 6 5 m in revenue from these big box stores cancelling him ! < br / > 👉 👉 he ’ s keeping the code trump2020 because he still believes it ’ s not over ! using that code shows we have hope too ! let ’ s use it !
20400,this is why they will not hear the case . < br / > thats all you need america . < br / > send this question everywhere . < br / > < br / > we have proof of fraud . they wont see it . they shut us out of our elections .
16745,rep . paul gosar and rep . thomas massie voted against making juneteenth a federal holiday . based . < br / > < br / > matt gaetz and mtg voted for it . cringe . < br / > < br / > the absolute state of america first .
10684,"irish rising up ! < br / > < br / > irish protest after corrupt politicians pass a vote allowing only vaccinated people to dine and drink in pubs and restaurants ! < br / > < br / > france , greece , now ireland ! < br / > we stand with you brothers and sisters !"
17203,"updated : <date> is the very last day to join the biggest recall in american history ! <repeated> < br / > < br / > california patriots have collected <number> + million signatures to recall gov gavin newsom . it should be a done - deal . <repeated> < br / > < br / > however , democrats ( because they have a super majority ) changed the rules . <repeated> democraps say every signature must be verified . <repeated> can ’ t even make up their shameless hypocrisy ! < br / > < br / > please repost this even if you ’ re not a california resident . <repeated> help us reach more californians ! < br / > < br / > 🚨 goal : prevent newsom ’ s presidential aspirations in <number> and help ca now !"
17331,"here is my updated schedule for <number> . < br / > < br / > by the end of the year , i ’ ll have traveled to <number> states & taught thousands of conservatives how to run for office . < br / > < br / > yes , we ’ re coming for the school boards ."
18185,"planet stupid < br / > < br / > < br / > delta airlines ceo says he opposes georgia ' s "" unacceptable "" voter id laws currently , < br / > < br / > a photo id is required in order to fly with delta airlines"
9130,audit all <number> states . <repeated> < br / > all corruption needs to be exposed < br / > before . <repeated> < br / > we lose our nation . < br / > < br / > this is why we have a new variant .
8145,"part of me is trying to game - theory out the whole rbg death happening now to figure out the larger game plan . < br / > < br / > <number> ) assume rbg did not die yesterday . assume she died a while ago , and they were just holding on ice to make the announcement at a key inflection point . < br / > < br / > <number> ) you need <number> votes to confirm a new justice . republicans may not have that , yet - even with pence . < br / > < br / > <number> ) therefore , if she was being kept , and they are deciding to thaw her out now - they are doing so for a tactical reason . < br / > < br / > i think they are trying to deadlock the supreme court to try and foster an electoral crisis . < br / > < br / > we all know by now that the dems are planning to steal every vote they can through mail fraud . how convenient that the supreme court would be deadlocked along party lines during this time , and basically be unable to make any real decisions , with a <number> - <number> split vote . < br / > < br / > this provides the pretense , the cover - beyond just a "" stolen election "" - for dems to ask supranational powers to step in . < br / > < br / > can not you hear it now , come december ? "" our votes are not being counted ! our failsafe in the form of the supreme court has failed us ! this is a once - in - a - lifetime event we could have never foreseen happening ! "" < br / > < br / > "" china ! un ! come save us ! <repeated> "" < br / > < br / > thus , would the useless leftie proles welcome literal communist occupation in our land . < br / > < br / > i am really thinking this is their plan at this point ; sabotage the vote and the system so bad , that they get lefties everywhere demanding that the dems to go over everyone ' s heads with overwhelming foreign military force ."
12123,"newsom is about to be recalled . < br / > < br / > cuomo is about to be stripped of his emergency powers & is the subject of a federal investigation . < br / > < br / > illinois , it ’ s your turn ."
13888,"yes , i have an ambitious strategy . < br / > < br / > pass election integrity reform in preparation for <number> . < br / > < br / > then , win the governorships in mi , pa , & wi . < br / > < br / > last , pass election integrity reform in those states for <number> . < br / > < br / > the gop isn ’ t going to help me , so i ’ m doing it , myself . < br / > < br / > are you in ?"
5700,"🚨 🚨 🚨 < br / > < br / > trump supporter in pa posted this . he was stopped by tsa over ‘ facial recognition match . ’ < br / > < br / > so if you were in washington , dc on <date> , allow time for travel detainment and possible arrest . < br / > < br / > via jack posobiec"
