,text_ek
4966,"make a plan to review every textbook your child brings home from school . if the textbook teaches anti - american values or history , tell every other parent in that school , raise hell , and if necessary , take your child out of that school . < br / > < br / > homeschool your kids , folks ."
2139,the new ‘ progressive alphabet ’ specifically designed for brainwashing young children !
8888,"this woman is a teacher driving her child to school ! < br / > < br / > are these really the teachers teaching our precious children ? < br / > < br / > in florida , people who act like this , usually get baker acted !"
19480,they really are coming for your children .
12981,billionaires are turning human suffering and the brainwashing - of - our - children into a stock market commodity !
18480,homeschool your children .
18435,it is imperative that you homeschool your children . < br / > < br / > nearly all teachers are marxist radicals .
12879,"parents , you need to guard your children ! this is getting out of hand !"
3391,"fed up mom rips school board in fiery rant over communist propaganda being taught to kids , calls it child abuse ."
8063,this is a third grade teacher . this is what ' teaches ' your children .
21607,"fathers , teach your children"
8186,imagine if every single christian in this country removed their children from public schools and started homeschooling .
11410,glad they ’ re getting the women and children out first .
10918,"woke teachers describe how they scheme together to brainwash young children , and politicise their education ."
11478,"revorgoodchild how many kids have you had , trevor , and how old are you ?"
